StockID,StockName,Exchange,Category_code,Category,Reference,ShareCapital,Total_Shares,MarketCapital,Chairman,DayTrade
2204,中華,TSE,12,汽車工業,135.0,5540000000.0,553600.0,72500000000.0,嚴陳莉蓮,Yes
2206,三陽工業,TSE,12,汽車工業,78.1,7970000000.0,797500.0,62500000000.0,吳清源,Yes
2207,和泰車,TSE,12,汽車工業,623.0,5570000000.0,557100.0,352100000000.0,黃南光,Yes
2208,台船,TSE,15,航運,18.8,12700000000.0,1274000.0,23900000000.0,鄭文隆,Yes
2211,長榮鋼,TSE,10,鋼鐵工業,146.5,4170000000.0,417100.0,65100000000.0,林耿立,Yes
2221,大甲,OTC,20,其他,31.95,423000000.0,42300.0,1330000000.0,黃士峰,Yes
2227,裕日車,TSE,12,汽車工業,136.0,3000000000.0,300000.0,44400000000.0,嚴陳莉蓮,No
2228,劍麟,TSE,12,汽車工業,115.0,758000000.0,75800.0,8750000000.0,黃正怡,Yes
2230,泰茂,OTC,05,電機機械,165.0,511000000.0,51900.0,8560000000.0,呂萬賢,Yes
2231,為升,TSE,12,汽車工業,108.0,1410000000.0,140900.0,15400000000.0,尤山泉,Yes
2233,宇隆,TSE,12,汽車工業,134.5,603000000.0,60300.0,8050000000.0,劉俊昌,Yes
2235,謚源,OTC,05,電機機械,48.15,359000000.0,35900.0,1730000000.0,吳碣石,Yes
2236,百達-KY,TSE,12,汽車工業,69.5,504000000.0,49400.0,3430000000.0,黃亮茳,Yes
2237,華德動能,OES,05,電機機械,26.73,1210000000.0,115700.0,3050000000.0,蔡裕慶,No
2239,英利-KY,TSE,12,汽車工業,59.3,1200000000.0,119000.0,7070000000.0,林上煒,Yes
2241,艾姆勒,TSE,12,汽車工業,49.3,1050000000.0,104600.0,5670000000.0,林啟聖,Yes
2243,宏旭-KY,TSE,12,汽車工業,15.2,694000000.0,69400.0,1160000000.0,林維源,No
2245,詠勝昌,OES,05,電機機械,48.17,135000000.0,13500.0,643000000.0,吳書杰,No
2247,汎德永業,TSE,12,汽車工業,326.5,807000000.0,80700.0,26500000000.0,唐慕蓮,Yes
2248,華勝-KY,OES,05,電機機械,40.97,420000000.0,42000.0,1720000000.0,陳鏗勝,No
2249,湧盛,OES,05,電機機械,113.21,201000000.0,20100.0,2270000000.0,林麗玉,No
2250,IKKA-KY,TSE,12,汽車工業,106.5,313000000.0,31300.0,3350000000.0,胡湘麒,Yes
2252,為昇科,OES,31,其他電子業,33.8,957000000.0,95700.0,3350000000.0,尤山泉,No
2254,巨鎧精密-創,TSE,12,汽車工業,89.0,639000000.0,63900.0,5780000000.0,吳柏樺,No
2255,凱銳光電,OES,31,其他電子業,39.62,600000000.0,60000.0,2400000000.0,林傳凱,No
2256,歐特明,OES,31,其他電子業,18.4,385000000.0,38500.0,685000000.0,吳錫慶,No
2258,鴻華先進-創,TSE,12,汽車工業,43.9,17400000000.0,1741000.0,77300000000.0,劉揚偉,No
2301,光寶科,TSE,25,電腦及週邊設備業,104.5,23500000000.0,2353000.0,236500000000.0,宋明峰,Yes
2302,麗正,TSE,24,半導體業,17.6,1660000000.0,166300.0,2920000000.0,林怡岑,Yes
2303,聯電,TSE,24,半導體業,51.8,125300000000.0,12530000.0,652700000000.0,洪嘉聰,Yes
2305,全友,TSE,25,電腦及週邊設備業,22.1,2060000000.0,205700.0,4580000000.0,吳金來,Yes
2308,台達電,TSE,28,電子零組件,319.0,26000000000.0,2598000.0,831200000000.0,海英俊,Yes
2312,金寶,TSE,31,其他電子業,16.0,15000000000.0,1496000.0,24100000000.0,許勝雄,Yes
2313,華通,TSE,28,電子零組件,71.1,11900000000.0,1192000.0,90900000000.0,江培琨,Yes
2314,台揚,TSE,27,通訊網路業,30.05,2520000000.0,252000.0,7610000000.0,謝其嘉,No
2316,楠梓電,TSE,28,電子零組件,44.65,1830000000.0,182700.0,8410000000.0,徐漢忠,Yes
2317,鴻海,TSE,31,其他電子業,170.5,138600000000.0,13860000.0,2377500000000.0,劉揚偉,Yes
2321,東訊,TSE,27,通訊網路業,15.9,303000000.0,30300.0,481000000.0,劉兆凱,No
2323,中環,TSE,26,光電業,12.45,10900000000.0,1089000.0,13900000000.0,翁明顯,Yes
2324,仁寶,TSE,25,電腦及週邊設備業,36.55,44100000000.0,4407000.0,165000000000.0,許勝雄,Yes
2327,國巨,TSE,28,電子零組件,630.0,4230000000.0,423200.0,272900000000.0,陳泰銘,Yes
